atmo_pres,air_speed,rel_humid,meta_rate,cloth_lvl,oper_temp,sens_desc
1013.25,0.1,0.0,1.0,0.61,10.0,0
1013.25,0.1,0.0,1.0,0.61,12.0,0
1013.25,0.1,0.0,1.0,0.61,14.0,0
1013.25,0.1,0.0,1.0,0.61,16.0,0
1013.25,0.1,0.0,1.0,0.61,18.0,0
1013.25,0.1,10.0,1.0,0.61,10.0,0
1013.25,0.1,10.0,1.0,0.61,12.0,0
1013.25,0.1,10.0,1.0,0.61,14.0,0
1013.25,0.1,10.0,1.0,0.61,16.0,0
1013.25,0.1,10.0,1.0,0.61,18.0,0
1013.25,0.1,20.0,1.0,0.61,10.0,0
1013.25,0.1,20.0,1.0,0.61,12.0,0
1013.25,0.1,20.0,1.0,0.61,14.0,0
1013.25,0.1,20.0,1.0,0.61,16.0,0
1013.25,0.1,20.0,1.0,0.61,18.0,0
1013.25,0.1,30.0,1.0,0.61,10.0,0
1013.25,0.1,30.0,1.0,0.61,12.0,0
1013.25,0.1,30.0,1.0,0.61,14.0,0
1013.25,0.1,30.0,1.0,0.61,16.0,0
1013.25,0.1,30.0,1.0,0.61,18.0,0
1013.25,0.1,40.0,1.0,0.61,10.0,0
1013.25,0.1,40.0,1.0,0.61,12.0,0
1013.25,0.1,40.0,1.0,0.61,14.0,0
1013.25,0.1,40.0,1.0,0.61,16.0,0
1013.25,0.1,40.0,1.0,0.61,18.0,0
1013.25,0.1,50.0,1.0,0.61,10.0,0
1013.25,0.1,50.0,1.0,0.61,12.0,0
1013.25,0.1,50.0,1.0,0.61,14.0,0
1013.25,0.1,50.0,1.0,0.61,16.0,0
1013.25,0.1,50.0,1.0,0.61,18.0,0
1013.25,0.1,60.0,1.0,0.61,10.0,0
1013.25,0.1,60.0,1.0,0.61,12.0,0
1013.25,0.1,60.0,1.0,0.61,14.0,0
1013.25,0.1,60.0,1.0,0.61,16.0,0
1013.25,0.1,60.0,1.0,0.61,18.0,0
1013.25,0.1,70.0,1.0,0.61,10.0,0
1013.25,0.1,70.0,1.0,0.61,12.0,0
1013.25,0.1,70.0,1.0,0.61,14.0,0
1013.25,0.1,70.0,1.0,0.61,16.0,0
1013.25,0.1,80.0,1.0,0.61,10.0,0
1013.25,0.1,80.0,1.0,0.61,12.0,0
1013.25,0.1,80.0,1.0,0.61,14.0,0
1013.25,0.1,80.0,1.0,0.61,16.0,0
1013.25,0.1,90.0,1.0,0.61,10.0,0
1013.25,0.1,90.0,1.0,0.61,12.0,0
1013.25,0.1,90.0,1.0,0.61,14.0,0
1013.25,0.1,90.0,1.0,0.61,16.0,0
1013.25,0.1,100.0,1.0,0.61,10.0,0
1013.25,0.1,100.0,1.0,0.61,12.0,0
1013.25,0.1,100.0,1.0,0.61,14.0,0
1013.25,0.1,100.0,1.0,0.61,16.0,0
1013.25,0.1,0.0,1.0,0.61,19.1,1
1013.25,0.1,0.0,1.0,0.61,20.0,1
1013.25,0.1,0.0,1.0,0.61,22.0,1
1013.25,0.1,10.0,1.0,0.61,18.9,1
1013.25,0.1,10.0,1.0,0.61,20.0,1
1013.25,0.1,20.0,1.0,0.61,18.8,1
1013.25,0.1,20.0,1.0,0.61,20.0,1
1013.25,0.1,30.0,1.0,0.61,18.6,1
1013.25,0.1,30.0,1.0,0.61,20.0,1
1013.25,0.1,40.0,1.0,0.61,18.4,1
1013.25,0.1,40.0,1.0,0.61,20.0,1
1013.25,0.1,50.0,1.0,0.61,18.3,1
1013.25,0.1,50.0,1.0,0.61,20.0,1
1013.25,0.1,60.0,1.0,0.61,18.1,1
1013.25,0.1,60.0,1.0,0.61,20.0,1
1013.25,0.1,70.0,1.0,0.61,18.0,1
1013.25,0.1,70.0,1.0,0.61,20.0,1
1013.25,0.1,80.0,1.0,0.61,17.8,1
1013.25,0.1,80.0,1.0,0.61,18.0,1
1013.25,0.1,80.0,1.0,0.61,20.0,1
1013.25,0.1,90.0,1.0,0.61,17.7,1
1013.25,0.1,90.0,1.0,0.61,18.0,1
1013.25,0.1,90.0,1.0,0.61,20.0,1
1013.25,0.1,100.0,1.0,0.61,17.5,1
1013.25,0.1,100.0,1.0,0.61,18.0,1
1013.25,0.1,100.0,1.0,0.61,20.0,1
1013.25,0.1,0.0,1.0,0.61,22.1,2
1013.25,0.1,0.0,1.0,0.61,24.0,2
1013.25,0.1,10.0,1.0,0.61,21.9,2
1013.25,0.1,10.0,1.0,0.61,22.0,2
1013.25,0.1,10.0,1.0,0.61,24.0,2
1013.25,0.1,20.0,1.0,0.61,21.7,2
1013.25,0.1,20.0,1.0,0.61,22.0,2
1013.25,0.1,20.0,1.0,0.61,24.0,2
1013.25,0.1,30.0,1.0,0.61,21.5,2
1013.25,0.1,30.0,1.0,0.61,22.0,2
1013.25,0.1,30.0,1.0,0.61,24.0,2
1013.25,0.1,40.0,1.0,0.61,21.3,2
1013.25,0.1,40.0,1.0,0.61,22.0,2
1013.25,0.1,40.0,1.0,0.61,24.0,2
1013.25,0.1,50.0,1.0,0.61,21.1,2
1013.25,0.1,50.0,1.0,0.61,22.0,2
1013.25,0.1,60.0,1.0,0.61,20.9,2
1013.25,0.1,60.0,1.0,0.61,22.0,2
1013.25,0.1,70.0,1.0,0.61,20.7,2
1013.25,0.1,70.0,1.0,0.61,22.0,2
1013.25,0.1,80.0,1.0,0.61,20.6,2
1013.25,0.1,80.0,1.0,0.61,22.0,2
1013.25,0.1,90.0,1.0,0.61,20.4,2
1013.25,0.1,90.0,1.0,0.61,22.0,2
1013.25,0.1,100.0,1.0,0.61,20.2,2
1013.25,0.1,100.0,1.0,0.61,22.0,2
1013.25,0.1,0.0,1.0,0.61,25.3,3
1013.25,0.1,0.0,1.0,0.61,26.0,3
1013.25,0.1,0.0,1.0,0.61,28.0,3
1013.25,0.1,10.0,1.0,0.61,25.0,3
1013.25,0.1,10.0,1.0,0.61,26.0,3
1013.25,0.1,10.0,1.0,0.61,28.0,3
1013.25,0.1,20.0,1.0,0.61,24.8,3
1013.25,0.1,20.0,1.0,0.61,26.0,3
1013.25,0.1,30.0,1.0,0.61,24.5,3
1013.25,0.1,30.0,1.0,0.61,26.0,3
1013.25,0.1,40.0,1.0,0.61,24.3,3
1013.25,0.1,40.0,1.0,0.61,26.0,3
1013.25,0.1,50.0,1.0,0.61,24.0,3
1013.25,0.1,50.0,1.0,0.61,26.0,3
1013.25,0.1,60.0,1.0,0.61,23.8,3
1013.25,0.1,60.0,1.0,0.61,24.0,3
1013.25,0.1,60.0,1.0,0.61,26.0,3
1013.25,0.1,70.0,1.0,0.61,23.6,3
1013.25,0.1,70.0,1.0,0.61,24.0,3
1013.25,0.1,70.0,1.0,0.61,26.0,3
1013.25,0.1,80.0,1.0,0.61,23.4,3
1013.25,0.1,80.0,1.0,0.61,24.0,3
1013.25,0.1,80.0,1.0,0.61,26.0,3
1013.25,0.1,90.0,1.0,0.61,23.2,3
1013.25,0.1,90.0,1.0,0.61,24.0,3
1013.25,0.1,100.0,1.0,0.61,23.0,3
1013.25,0.1,100.0,1.0,0.61,24.0,3
1013.25,0.1,0.0,1.0,0.61,28.4,4
1013.25,0.1,0.0,1.0,0.61,30.0,4
1013.25,0.1,10.0,1.0,0.61,28.1,4
1013.25,0.1,10.0,1.0,0.61,30.0,4
1013.25,0.1,20.0,1.0,0.61,27.8,4
1013.25,0.1,20.0,1.0,0.61,28.0,4
